Subject,TrialID,Order,Time,grid_distance,human_distance
605,2,13.0,10.0,203.0,152.79
605,3,11.0,16.0,302.0,263.82
605,4,19.0,15.0,303.0,233.87
605,5,10.0,16.0,304.0,252.26
605,6,17.0,10.0,203.0,159.53
605,7,9.0,21.0,425.0,359.94
605,8,20.0,8.0,162.0,124.59
605,9,12.0,18.0,344.0,300.49
605,10,16.0,33.0,691.0,562.18
605,11,5.0,5.0,82.0,54.98
605,13,6.0,15.0,323.0,243.13
605,14,18.0,10.0,203.0,151.78
605,16,8.0,24.0,485.0,396.44
605,17,3.0,15.0,305.0,239.44
605,18,1.0,9.0,142.0,115.15
605,19,4.0,12.0,183.0,168.95
605,21,14.0,13.0,222.0,193.08
605,22,7.0,8.0,163.0,111.96
605,23,2.0,23.0,404.0,334.54
605,24,15.0,11.0,183.0,145.18
606,2,10.0,23.0,405.0,327.54
606,3,8.0,22.0,466.0,370.83
606,4,16.0,12.0,223.0,180.96
606,5,19.0,13.0,264.0,211.7
606,6,15.0,11.0,203.0,164.18
606,7,6.0,22.0,465.0,362.92
606,8,17.0,25.0,526.0,391.52
606,9,2.0,20.0,344.0,303.95
606,10,7.0,12.0,203.0,165.22
606,11,18.0,5.0,82.0,55.56
606,13,1.0,24.0,405.0,331.68
606,14,5.0,11.0,203.0,172.38
606,16,11.0,11.0,203.0,169.8
606,17,9.0,20.0,347.0,289.98
606,18,14.0,17.0,264.0,226.05
606,19,13.0,18.0,345.0,283.67
606,21,3.0,19.0,304.0,248.23
606,22,4.0,20.0,367.0,307.22
606,23,12.0,22.0,404.0,341.35
606,24,20.0,18.0,343.0,268.89
607,2,8.0,34.0,689.0,547.15
607,3,6.0,25.0,466.0,419.22
607,4,4.0,12.0,223.0,192.28
607,5,9.0,28.0,506.0,441.16
607,6,7.0,12.0,203.0,171.68
607,7,1.0,24.0,427.0,361.92
607,8,19.0,9.0,164.0,130.51
607,9,12.0,20.0,344.0,305.64
607,10,11.0,32.0,607.0,516.51
607,11,14.0,12.0,202.0,169.48
607,13,16.0,29.0,527.0,447.26
607,14,3.0,21.0,407.0,332.29
607,16,15.0,13.0,203.0,161.08
607,17,2.0,40.0,921.34,772.98
607,18,17.0,9.0,142.0,118.65
607,19,10.0,40.0,791.0,650.99
607,21,13.0,34.0,670.0,573.0
607,22,20.0,8.0,163.0,118.59
607,23,5.0,40.0,941.76,760.51
607,24,18.0,27.0,467.0,429.63
608,2,5.0,23.0,447.0,368.08
608,3,7.0,16.0,302.0,260.48
608,4,2.0,13.0,223.0,168.61
608,5,13.0,27.0,508.0,408.05
608,6,4.0,13.0,243.0,182.82
608,7,11.0,17.0,305.0,260.02
608,8,10.0,10.0,162.0,140.29
608,9,17.0,28.0,546.0,416.63
608,10,9.0,40.0,1041.67,899.66
608,11,15.0,7.0,122.0,78.88
608,13,6.0,35.0,607.0,492.65
608,14,8.0,17.0,325.0,237.79
608,16,16.0,11.0,203.0,166.4
608,17,19.0,30.0,629.0,496.41
608,18,1.0,15.0,264.0,201.08
608,19,14.0,8.0,143.0,116.2
608,21,3.0,21.0,388.0,317.67
608,22,20.0,32.0,607.0,503.14
608,23,12.0,21.0,404.0,341.31
608,24,18.0,18.0,343.0,288.43
609,2,10.0,9.0,203.0,136.74
609,3,4.0,17.0,342.0,260.77
609,4,14.0,11.0,223.0,172.4
609,5,17.0,13.0,264.0,205.45
609,6,19.0,11.0,243.0,178.59
609,7,13.0,15.0,305.0,242.99
609,8,5.0,8.0,162.0,122.26
609,9,16.0,15.0,304.0,243.95
609,10,20.0,10.0,203.0,163.77
609,11,15.0,5.0,82.0,59.99
609,13,8.0,17.0,365.0,283.82
609,14,7.0,9.0,203.0,136.97
609,16,2.0,10.0,203.0,159.69
609,17,12.0,11.0,223.0,178.0
609,18,6.0,8.0,142.0,114.49
609,19,1.0,16.0,305.0,255.6
609,21,3.0,12.0,222.0,193.14
609,22,11.0,24.0,527.0,365.93
609,23,18.0,12.0,284.0,185.63
609,24,9.0,10.0,183.0,145.82
610,2,3.0,22.0,285.0,225.13
610,3,13.0,18.0,302.0,273.7
610,4,20.0,19.0,303.0,231.43
610,5,16.0,15.0,264.0,208.71
610,6,19.0,17.0,203.0,159.35
610,7,17.0,23.0,385.0,307.37
610,8,5.0,28.0,202.0,150.64
610,9,9.0,17.0,304.0,223.56
610,10,4.0,19.0,285.0,220.35
610,11,15.0,15.0,82.0,66.56
610,13,14.0,21.0,323.0,244.75
610,14,8.0,23.0,365.0,299.83
610,16,2.0,14.0,203.0,173.3
610,17,6.0,13.0,223.0,179.27
610,18,7.0,11.0,142.0,120.9
610,19,18.0,18.0,263.0,224.05
610,21,10.0,17.0,222.0,184.53
610,22,12.0,24.0,243.0,193.85
610,23,1.0,23.0,244.0,213.8
610,24,11.0,14.0,183.0,162.85
611,2,8.0,11.0,203.0,149.07
611,3,4.0,18.0,302.0,279.2
611,4,19.0,15.0,223.0,183.47
611,5,11.0,16.0,264.0,236.3
611,6,10.0,16.0,243.0,220.54
611,7,13.0,17.0,305.0,252.75
611,8,2.0,12.0,162.0,140.38
611,9,17.0,26.0,424.0,358.86
611,10,16.0,18.0,285.0,236.96
611,11,3.0,14.0,202.0,155.94
611,13,14.0,27.0,443.0,335.76
611,14,9.0,15.0,243.0,192.44
611,16,5.0,13.0,203.0,178.25
611,17,6.0,29.0,547.0,452.64
611,18,20.0,9.0,142.0,110.79
611,19,12.0,8.0,143.0,123.02
611,21,18.0,16.0,224.0,212.8
611,22,15.0,31.0,525.0,411.91
611,23,7.0,21.0,364.0,301.08
611,24,1.0,24.0,343.0,286.97
612,2,20.0,22.0,485.0,416.92
612,3,7.0,15.0,304.0,262.04
612,4,8.0,11.0,223.0,188.82
612,5,16.0,14.0,264.0,226.01
612,6,12.0,11.0,243.0,197.74
612,7,10.0,15.0,305.0,257.09
612,8,11.0,8.0,162.0,126.23
612,9,2.0,16.0,344.0,289.04
612,10,4.0,28.0,607.0,516.58
612,11,17.0,10.0,202.0,163.27
612,13,6.0,21.0,405.0,357.95
612,14,3.0,19.0,407.0,321.71
612,16,18.0,10.0,203.0,170.58
612,17,15.0,27.0,547.0,487.76
612,18,1.0,35.0,710.0,627.27
612,19,19.0,7.0,143.0,114.1
612,21,5.0,16.0,304.0,260.93
612,22,9.0,10.0,203.0,158.72
612,23,14.0,18.0,404.0,338.04
612,24,13.0,17.0,385.0,320.02
613,2,4.0,24.0,365.0,300.81
613,3,1.0,40.0,448.62,376.76
613,4,18.0,10.0,223.0,187.84
613,5,13.0,17.0,346.0,307.35
613,6,12.0,13.0,243.0,205.89
613,7,17.0,19.0,425.0,400.86
613,8,9.0,28.0,528.0,490.06
613,9,3.0,40.0,759.56,622.82
613,10,7.0,26.0,447.0,387.57
613,11,2.0,20.0,284.0,219.64
613,13,11.0,24.0,403.0,328.14
613,14,6.0,19.0,285.0,250.76
613,16,14.0,19.0,447.0,399.38
613,17,15.0,21.0,467.0,390.66
613,18,8.0,36.0,668.0,573.73
613,19,20.0,26.0,467.0,389.83
613,21,16.0,22.0,386.0,324.61
613,22,10.0,27.0,485.0,410.13
613,23,5.0,23.0,366.0,286.21
613,24,19.0,16.0,375.0,267.1
614,2,19.0,9.0,203.0,141.92
614,3,17.0,14.0,304.0,237.54
614,4,9.0,10.0,223.0,184.0
614,5,5.0,13.0,264.0,226.41
614,6,20.0,12.0,243.0,198.22
614,7,4.0,15.0,305.0,242.87
614,8,14.0,8.0,202.0,155.02
614,9,6.0,10.0,224.0,179.02
614,10,16.0,9.0,203.0,173.89
614,11,18.0,5.0,82.0,73.84
614,13,13.0,21.0,405.0,342.93
614,14,7.0,8.0,203.0,144.75
614,16,3.0,9.0,203.0,171.32
614,17,10.0,12.0,263.0,200.15
614,18,11.0,11.0,264.0,192.94
614,19,15.0,11.0,303.0,229.52
614,21,12.0,9.0,182.0,144.7
614,22,1.0,8.0,163.0,118.88
614,23,2.0,10.0,164.0,132.21
614,24,8.0,10.0,225.0,180.98
615,2,1.0,36.0,609.0,508.24
615,3,8.0,40.0,790.0,621.5
615,4,2.0,19.0,345.0,276.66
615,5,20.0,19.0,386.0,316.95
615,6,19.0,14.0,243.0,189.75
615,7,18.0,17.0,345.0,250.62
615,8,3.0,20.0,324.0,259.26
615,9,14.0,18.0,344.0,245.14
615,10,17.0,26.0,529.0,400.78
615,11,7.0,15.0,242.0,183.48
615,13,15.0,32.0,607.0,493.53
615,14,6.0,11.0,203.0,159.15
615,16,5.0,20.0,365.0,265.99
615,17,4.0,14.0,223.0,191.51
615,18,12.0,15.0,224.0,174.07
615,19,11.0,28.0,547.0,441.54
615,21,10.0,11.0,182.0,145.12
615,22,13.0,29.0,607.0,464.46
615,23,9.0,24.0,404.0,345.97
615,24,16.0,12.0,225.0,173.46
616,2,11.0,27.0,565.0,429.56
616,3,7.0,29.0,506.0,408.46
616,4,13.0,11.0,223.0,183.23
616,5,2.0,25.0,466.0,423.32
616,6,3.0,14.0,243.0,210.66
616,7,5.0,23.0,425.0,346.29
616,8,12.0,23.0,404.0,362.89
616,9,4.0,19.0,386.0,307.64
616,10,10.0,12.0,203.0,159.23
616,11,18.0,16.0,326.0,249.93
616,13,15.0,20.0,405.0,311.18
616,14,14.0,31.0,649.0,553.57
616,16,20.0,31.0,647.0,558.75
616,17,8.0,19.0,345.0,260.4
616,18,16.0,21.0,424.0,328.73
616,19,6.0,23.0,425.0,344.57
616,21,1.0,26.0,428.0,372.47
616,22,19.0,32.0,607.0,540.45
616,23,9.0,15.0,244.0,196.19
616,24,17.0,21.0,385.0,329.94
617,2,1.0,23.0,405.0,349.95
617,3,5.0,18.0,304.0,265.4
617,4,10.0,14.0,223.0,180.9
617,5,15.0,26.0,506.0,427.66
617,6,17.0,23.0,405.0,347.4
617,7,16.0,24.0,425.0,365.71
617,8,9.0,11.0,162.0,141.2
617,9,19.0,19.0,344.0,269.73
617,10,8.0,20.0,285.0,250.12
617,11,20.0,11.0,122.0,103.67
617,13,7.0,26.0,447.0,402.49
617,14,3.0,37.0,607.0,483.71
617,16,6.0,12.0,245.0,176.48
617,17,18.0,22.0,335.0,268.38
617,18,13.0,35.0,668.0,523.39
617,19,4.0,38.0,711.0,580.42
617,21,12.0,33.0,628.0,513.67
617,22,2.0,40.0,672.25,544.99
