Subject,Age,Gender,AllowedTime,Order,Center,Top,Target,TargetAngle,EstimateAngle,AngularError,DSP_Trial,targetAngle
604,20,male,60,1,You,picnictable,wheelbarrow,51.0,43.0,8.0,dsp1_11,50.94686305
605,18,male,60,16,You,picnictable,wheelbarrow,51.0,23.0,28.0,dsp1_11,50.94686305
606,20,male,60,25,You,picnictable,wheelbarrow,51.0,154.0,103.0,dsp1_11,50.94686305
607,20,female,60,27,You,picnictable,wheelbarrow,51.0,57.0,6.0,dsp1_11,50.94686305
608,21,male,60,16,You,picnictable,wheelbarrow,51.0,146.0,95.0,dsp1_11,50.94686305
609,18,male,60,10,You,picnictable,wheelbarrow,51.0,75.0,24.0,dsp1_11,50.94686305
610,19,male,60,10,You,picnictable,wheelbarrow,51.0,34.0,17.0,dsp1_11,50.94686305
611,19,male,60,25,You,picnictable,wheelbarrow,51.0,293.0,118.0,dsp1_11,50.94686305
612,18,male,60,13,You,picnictable,wheelbarrow,51.0,57.0,6.0,dsp1_11,50.94686305
613,18,male,60,16,You,picnictable,wheelbarrow,51.0,88.0,37.0,dsp1_11,50.94686305
614,19,male,60,17,You,picnictable,wheelbarrow,51.0,264.0,147.0,dsp1_11,50.94686305
615,20,male,60,12,You,picnictable,wheelbarrow,51.0,268.0,143.0,dsp1_11,50.94686305
616,19,male,60,17,You,picnictable,wheelbarrow,51.0,119.0,68.0,dsp1_11,50.94686305
617,19,male,60,15,You,picnictable,wheelbarrow,51.0,126.0,75.0,dsp1_11,50.94686305
618,19,male,60,7,You,picnictable,wheelbarrow,51.0,109.0,58.0,dsp1_11,50.94686305
619,20,male,60,15,You,picnictable,wheelbarrow,51.0,37.0,14.0,dsp1_11,50.94686305
620,18,male,60,4,You,picnictable,wheelbarrow,51.0,135.0,84.0,dsp1_11,50.94686305
621,25,female,60,1,You,picnictable,wheelbarrow,51.0,196.0,145.0,dsp1_11,50.94686305
622,18,male,60,19,You,picnictable,wheelbarrow,51.0,224.0,173.0,dsp1_11,50.94686305
623,19,female,60,22,You,picnictable,wheelbarrow,51.0,44.0,7.0,dsp1_11,50.94686305
624,18,female,60,19,You,picnictable,wheelbarrow,51.0,16.0,35.0,dsp1_11,50.94686305
625,20,female,60,15,You,picnictable,wheelbarrow,51.0,278.0,133.0,dsp1_11,50.94686305
626,18,male,60,6,You,picnictable,wheelbarrow,51.0,84.0,33.0,dsp1_11,50.94686305
627,19,male,60,15,You,picnictable,wheelbarrow,51.0,223.0,172.0,dsp1_11,50.94686305
628,18,female,60,22,You,picnictable,wheelbarrow,51.0,265.0,146.0,dsp1_11,50.94686305
