Subject,Order,TrialID,Time,X,Z,X_d,Z_d
605,13,2,2.0,173.5239,171.2283,174,173
605,13,2,2.0,164.449,171.6187,154,173
605,13,2,3.0,155.9386,172.2133,154,173
605,13,2,3.0,144.0192,171.731,134,173
605,13,2,4.0,139.9825,168.1941,134,173
605,13,2,4.0,137.5612,163.4284,134,153
605,13,2,5.0,135.2059,150.7635,134,153
605,13,2,5.0,133.7978,143.0652,134,132
605,13,2,6.0,132.1906,133.3044,134,132
605,13,2,6.0,130.2562,122.7265,134,112
605,13,2,7.0,124.4853,118.358,134,112
605,13,2,7.0,123.904,118.1908,114,112
605,13,2,8.0,107.3903,113.8078,114,112
605,13,2,8.0,103.6531,112.7153,93,112
605,13,2,8.0,96.19711,102.2268,93,92
605,13,2,9.0,96.00584,101.3687,93,92
605,13,2,10.0,91.80094,84.18731,93,92
605,13,2,10.0,90.29478,81.59531,93,71
605,13,2,10.0,83.71149,77.18295,73,71
605,11,3,2.0,216.0941,132.0852,214,132
605,11,3,2.0,213.6235,122.6779,214,112
605,11,3,3.0,212.4128,116.7794,214,112
605,11,3,3.0,208.7151,102.0389,214,92
605,11,3,4.0,206.9173,100.4507,214,92
605,11,3,4.0,204.8106,99.28218,194,92
605,11,3,5.0,189.3183,96.04735,194,92
605,11,3,5.0,184.5722,95.29247,174,92
605,11,3,6.0,171.7651,95.88664,174,92
605,11,3,6.0,164.3256,96.85954,154,92
605,11,3,7.0,154.8988,101.9004,154,92
605,11,3,7.0,154.4364,102.2994,154,112
605,11,3,7.0,143.9994,108.4217,134,112
605,11,3,8.0,139.2435,109.0827,134,112
605,11,3,8.0,124.0891,111.133,114,112
605,11,3,9.0,121.1282,111.6179,114,112
605,11,3,9.0,103.8492,113.6656,93,112
605,11,3,10.0,103.5555,113.6831,93,112
605,11,3,11.0,85.28014,114.5752,93,112
605,11,3,11.0,83.49402,114.6126,73,112
605,11,3,12.0,67.59061,114.6303,73,112
605,11,3,12.0,63.38877,114.4184,53,112
605,11,3,13.0,49.36171,112.8817,53,112
605,11,3,13.0,43.17033,110.5161,33,112
605,11,3,14.0,31.54939,109.5406,33,112
605,11,3,14.0,22.99123,119.8008,13,112
605,11,3,14.0,19.42263,122.9294,13,132
605,11,3,15.0,19.3064,123.2115,13,132
605,11,3,16.0,20.4593,140.7406,13,132
605,11,3,16.0,13.0,153.0,13,153
605,19,4,2.0,214.847,124.5619,214,132
605,19,4,2.0,214.5307,122.4876,214,112
605,19,4,3.0,212.2116,106.4547,214,112
605,19,4,3.0,210.087,102.222,214,92
605,19,4,3.0,204.5972,98.25469,194,92
605,19,4,4.0,199.0043,96.14718,194,92
605,19,4,4.0,184.4881,94.42258,174,92
605,19,4,5.0,181.2684,95.01351,174,92
605,19,4,5.0,164.2621,98.59767,154,92
605,19,4,6.0,164.0014,98.73985,154,92
605,19,4,6.0,158.7954,102.2853,154,112
605,19,4,7.0,147.8058,106.9527,154,112
605,19,4,7.0,143.9811,107.6941,134,112
605,19,4,8.0,130.3657,109.8435,134,112
605,19,4,8.0,123.7898,110.5581,114,112
605,19,4,9.0,112.1355,111.5777,114,112
605,19,4,9.0,103.7636,112.3102,93,112
605,19,4,10.0,94.5233,113.1186,93,112
605,19,4,10.0,83.48331,114.3179,73,112
605,19,4,11.0,80.41405,120.416,73,112
605,19,4,11.0,80.02531,122.7899,73,132
605,19,4,12.0,77.53142,137.8514,73,132
605,19,4,12.0,76.63432,143.2123,73,153
605,19,4,13.0,74.5071,155.9241,73,153
605,19,4,13.0,73.17152,163.9053,73,173
605,19,4,14.0,71.58521,173.3847,73,173
605,19,4,14.0,67.6295,184.1521,73,194
605,19,4,15.0,63.88769,189.602,73,194
605,19,4,15.0,63.38461,190.334,53,194
605,10,5,2.0,216.1656,34.18779,214,30
605,10,5,2.0,215.7588,20.16506,214,10
605,10,5,3.0,214.8807,17.71532,214,10
605,10,5,3.0,204.7175,16.46515,194,10
605,10,5,4.0,197.8146,16.7424,194,10
605,10,5,4.0,184.6261,16.90424,174,10
605,10,5,5.0,179.5385,16.74809,174,10
605,10,5,5.0,164.2916,18.64769,154,10
605,10,5,6.0,163.2357,19.69882,154,10
605,10,5,6.0,161.8105,20.65424,154,30
605,10,5,7.0,158.1218,36.27551,154,30
605,10,5,7.0,157.4224,41.00193,154,51
605,10,5,8.0,155.7157,53.80787,154,51
605,10,5,8.0,154.8462,61.56001,154,71
605,10,5,9.0,153.6443,71.99243,154,71
605,10,5,9.0,152.4016,82.0883,154,92
605,10,5,10.0,151.4777,89.56892,154,92
605,10,5,10.0,149.8035,102.3371,154,112
605,10,5,11.0,146.2915,106.3057,154,112
605,10,5,11.0,144.0113,106.9407,134,112
605,10,5,12.0,128.9391,108.8143,134,112
605,10,5,12.0,124.0003,110.1856,114,112
605,10,5,13.0,110.9377,112.0174,114,112
605,10,5,13.0,103.643,110.9864,93,112
605,10,5,14.0,93.97185,110.2547,93,112
605,10,5,14.0,83.68782,115.3731,73,112
605,10,5,15.0,80.09627,120.8793,73,112
605,10,5,15.0,79.21014,122.778,73,132
605,10,5,16.0,78.01944,138.2265,73,132
605,10,5,16.0,78.45451,143.3133,73,153
605,17,6,2.0,215.306,35.79587,214,30
605,17,6,2.0,214.5604,41.14505,214,51
605,17,6,3.0,213.7027,54.02811,214,51
605,17,6,3.0,214.4556,61.42713,214,71
605,17,6,4.0,212.37,71.69673,214,71
605,17,6,4.0,212.0131,81.95066,214,92
605,17,6,5.0,208.0697,90.05774,214,92
605,17,6,5.0,204.5357,90.80567,194,92
605,17,6,6.0,190.6076,93.18041,194,92
605,17,6,6.0,184.3996,94.08501,174,92
605,17,6,7.0,172.5221,95.77015,174,92
605,17,6,7.0,164.2961,97.24773,154,92
605,17,6,8.0,156.5182,102.3064,154,112
605,17,6,8.0,144.2068,113.3235,134,112
605,17,6,9.0,143.0226,114.6773,134,112
605,17,6,9.0,138.142,122.8858,134,132
605,17,6,10.0,134.7794,130.2555,134,132
605,17,6,10.0,128.7433,143.3399,134,153
605,9,7,2.0,133.3343,11.15162,134,10
605,9,7,2.0,144.4649,11.80151,154,10
605,9,7,3.0,150.3884,13.59592,154,10
605,9,7,3.0,155.0428,20.53656,154,30
605,9,7,4.0,157.4022,29.50211,154,30
605,9,7,4.0,158.309,41.1148,154,51
605,9,7,5.0,158.2613,47.70841,154,51
605,9,7,5.0,158.2802,61.51486,154,71
605,9,7,6.0,158.2802,65.41897,154,71
605,9,7,6.0,159.1512,82.07242,154,92
605,9,7,7.0,159.7681,83.44361,154,92
605,9,7,7.0,164.5591,87.80294,174,92
605,9,7,8.0,174.7569,92.19822,174,92
605,9,7,8.0,184.8298,93.61462,194,92
605,9,7,9.0,192.8774,94.5173,194,92
605,9,7,9.0,204.8896,97.37431,214,92
605,9,7,10.0,208.1115,101.329,214,92
605,9,7,10.0,208.712,102.365,214,112
605,9,7,11.0,214.2338,118.5384,214,112
605,9,7,11.0,215.168,122.9435,214,132
605,9,7,12.0,216.4491,136.0758,214,132
