Subject,Order,TrialID,human_coding
"605
",1,dsp1_18,shortcut
"605
",2,dsp1_23,learned
"605
",3,dsp1_17,reverse learned
"605
",4,dsp1_19,shortcut liberal
"605
",5,dsp1_11,shortcut
"605
",6,dsp1_13,shortcut
"605
",7,dsp1_22,shortcut
"605
",8,dsp1_16,learned liberal
"605
",9,dsp1_07,uncodable
"605
",10,dsp1_05,shortcut liberal
"605
",11,dsp1_03,shortcut
"605
",12,dsp1_09,reverse learned
"605
",13,dsp1_02,shortcut
"605
",14,dsp1_21,shortcut liberal
"605
",15,dsp1_24,shortcut
"605
",16,dsp1_10,uncodable
"605
",17,dsp1_06,shortcut
"605
",18,dsp1_14,shortcut
"605
",19,dsp1_04,shortcut liberal
"605
",20,dsp1_08,shortcut
"606
",1,dsp1_13,reversed learned
"606
",2,dsp1_09,reversed learned
"606
",3,dsp1_21,learned
"606
",4,dsp1_22,reversed learned
"606
",5,dsp1_14,shortcut
"606
",6,dsp1_07,uncodable
"606
",7,dsp1_10,shortcut
"606
",8,dsp1_03,uncodable
"606
",9,dsp1_17,shortcut liberal
"606
",10,dsp1_02,uncodable
"606
",11,dsp1_16,shortcut
"606
",12,dsp1_23,learned
"606
",13,dsp1_19,shortcut liberal
"606
",14,dsp1_18,learned liberal
"606
",15,dsp1_06,shortcut
"606
",16,dsp1_04,shortcut
"606
",17,dsp1_08,uncodable
"606
",18,dsp1_11,shortcut
"606
",19,dsp1_05,shortcut
"606
",20,dsp1_24,uncodable
"607
",1,dsp1_07,learned
"607
",2,dsp1_17,Failure
"607
",3,dsp1_14,uncodable
"607
",4,dsp1_04,shortcut
"607
",5,dsp1_23,Failure
"607
",6,dsp1_03,learned liberal
"607
",7,dsp1_06,shortcut
"607
",8,dsp1_02,uncodable
"607
",9,dsp1_05,learned liberal
"607
",10,dsp1_19,Failure
"607
",11,dsp1_10,learned liberal
"607
",12,dsp1_09,reversed learned
"607
",13,dsp1_21,uncodable
"607
",14,dsp1_11,learned liberal
"607
",15,dsp1_16,shortcut
"607
",16,dsp1_13,uncodable
"607
",17,dsp1_18,shortcut
"607
",18,dsp1_24,uncodable
"607
",19,dsp1_08,shortcut
"607
",20,dsp1_22,shortcut
"608
",1,dsp1_18,learned
"608
",2,dsp1_04,shortcut
"608
",3,dsp1_21,uncodable
"608
",4,dsp1_06,shortcut liberal
"608
",5,dsp1_02,learned
"608
",6,dsp1_13,uncodable
"608
",7,dsp1_03,shortcut
"608
",8,dsp1_14,uncodable
"608
",9,dsp1_10,Failure
"608
",10,dsp1_08,shortcut
"608
",11,dsp1_07,shortcut liberal
"608
",12,dsp1_23,learned
"608
",13,dsp1_05,uncodable
"608
",14,dsp1_19,shortcut
"608
",15,dsp1_11,shortcut
"608
",16,dsp1_16,shortcut
"608
",17,dsp1_09,uncodable
"608
",18,dsp1_24,learned
"608
",19,dsp1_17,learned liberal
"608
",20,dsp1_22,learned
"609
",1,dsp1_19,shortcut liberal
"609
",2,dsp1_16,shortcut
"609
",3,dsp1_21,shortcut liberal
"609
",4,dsp1_03,shortcut liberal
"609
",5,dsp1_08,shortcut
"609
",6,dsp1_18,shortcut
"609
",7,dsp1_14,shortcut
"609
",8,dsp1_13,shortcut liberal
"609
",9,dsp1_24,shortcut
"609
",10,dsp1_02,shortcut
"609
",11,dsp1_22,shortcut liberal
"609
",12,dsp1_17,rev learned liberal
"609
",13,dsp1_07,shortcut liberal
"609
",14,dsp1_04,shortcut
"609
",15,dsp1_11,shortcut
"609
",16,dsp1_09,shortcut liberal
"609
",17,dsp1_05,shortcut
"609
",18,dsp1_23,shortcut liberal
"609
",19,dsp1_06,shortcut liberal
"609
",20,dsp1_10,shortcut
"610
",1,dsp1_23,shortcut liberal
"610
",2,dsp1_16,shortcut
"610
",3,dsp1_02,shortcut liberal
"610
",4,dsp1_10,learned
"610
",5,dsp1_08,shortcut
"610
",6,dsp1_17,rev learned liberal
"610
",7,dsp1_18,shortcut
"610
",8,dsp1_14,uncodable
"610
",9,dsp1_09,learned liberal
"610
",10,dsp1_21,shortcut liberal
"610
",11,dsp1_24,shortcut
