TrialNumber, TrialID, RealAngle, TrueAngle, AngleError, StartingObject, EndObject, TimeTaken
8,1,64.90062,139.8627,-74.96207999999999, Well, Stove,3.969963
21,2,-47.27243,-49.85279,2.580359999999999, Wheelbarrow, Stove,16.02962
2,3,-70.55995,-36.09407,-34.46588, Mailbox, Piano,15.57936
18,4,35.09583,-2.913495,38.009325, Harp, Piano,10.20836
1,5,58.58599,-121.5305,180.11649, Bookshelf, Table,14.12843
14,6,43.24061,24.73069,18.509919999999997, Chair, Table,6.738838
20,7,47.95078,-156.2066,204.15738000000002, Trashcan, Plant,13.61156
22,8,135.0,108.8188,26.181200000000004, Harp, Plant,6.772232
3,9,-113.7026,151.2295,-264.9321, Stove, Bookshelf,8.473625
12,10,-90.67404,-155.7204,65.04636, Plant, Bookshelf,8.57373
13,11,-66.88235,10.1685,-77.05085, Telescope, Trashcan,17.14735
24,12,-48.20201,-13.0517,-35.150310000000005, Table, Trashcan,6.738861
7,13,135.7345,156.9717,-21.2372, Well, Telescope,6.705475
4,14,94.88276,0.0,94.88276, Wheelbarrow, Telescope,6.638916
5,15,-122.8164,-20.9935,-101.8229, Mailbox, Wheelbarrow,7.822983
19,16,-112.3663,-141.7693,29.40299999999999, Plant, Wheelbarrow,5.487549
11,17,-146.3988,146.6573,-293.0561, Stove, Harp,3.653053
6,18,-100.7459,-4.299151,-96.44674900000001, Telescope, Harp,3.619717
17,19,-120.3902,-47.17128,-73.21892, Table, Well,6.472046
15,20,-124.3302,8.961795,-133.29199500000001, Piano, Well,8.924179
23,21,138.3468,-146.2155,284.5623, Trashcan, Mailbox,5.454636
16,22,147.2005,-51.54441,198.74491, Bookshelf, Mailbox,12.61024
9,23,-74.19745,-10.49368,-63.703770000000006, Piano, Chair,7.856361
10,24,-145.2912,-125.6807,-19.610500000000002, Trashcan, Chair,5.454514
