TrialNumber, TrialID, RealAngle, TrueAngle, AngleError, StartingObject, EndObject, TimeTaken
1, 24, -137.8624, -125.6807, -12.18169, Trashcan, Chair, 85.93748
2, 13, -9.071511, 156.9717, -166.0432, Well, Telescope, 97.66349
3, 16, -144.8658, -141.7693, -3.096481, Plant, Wheelbarrow, 27.8896
4, 23, 56.22891, -10.49368, 66.7226, Piano, Chair, 50.77504
5, 17, 166.7479, 146.6573, 20.09065, Stove, Harp, 36.62997
6, 3, -17.8562, -36.09407, 18.23787, Mailbox, Piano, 36.17987
7, 18, -11.52032, -4.299151, -7.22117, Telescope, Harp, 62.38452
8, 10, -156.8542, -155.7204, -1.133789, Plant, Bookshelf, 47.02173
9, 22, -68.74947, -51.54441, -17.20506, Bookshelf, Mailbox, 79.26529
10, 5, -152.8577, -121.5305, -31.32716, Bookshelf, Table, 83.43512
11, 7, 120.3432, -156.2066, 276.5498, Trashcan, Plant, 38.04791
12, 4, -132.4362, -2.913495, -129.5227, Harp, Piano, 42.41803
13, 9, 136.3875, 151.2295, -14.84203, Stove, Bookshelf, 10.50867
14, 12, -88.10137, -13.0517, -75.04967, Table, Trashcan, 40.55005
15, 21, 120.0082, -146.2155, 266.2237, Trashcan, Mailbox, 18.14838
16, 11, 120.0082, 10.1685, 109.8397, Telescope, Trashcan, 23.33569
17, 20, 47.41952, 8.961795, 38.45773, Piano, Well, 29.79156
18, 1, 167.9998, 139.8627, 28.13712, Well, Stove, 28.32288
19, 15, -69.56253, -20.9935, -48.56903, Mailbox, Wheelbarrow, 29.62433
20, 14, -26.1753, 0, -26.1753, Wheelbarrow, Telescope, 53.67743
21, 8, -51.92344, 108.8188, -160.7422, Harp, Plant, 30.87604
22, 2, -86.21735, -49.85279, -36.36456, Wheelbarrow, Stove, 27.13818
23, 6, 60.55459, 24.73069, 35.8239, Chair, Table, 18.6488
24, 19, -11.70291, -47.17128, 35.46837, Table, Well, 38.64825
