ParticipantID,TrialNumber,LevelDistanceTraveled,grid_distance,human_distance
401,1,10.54,13.5,10.53
401,2,4.61,5.9,4.05
401,3,10.09,11.8,9.01
401,4,5.1,5.7,5.37
401,5,6.8,8.4,7.86
401,6,8.23,9.8,7.41
401,7,16.1,18.2,15.99
401,8,6.44,7.8,5.92
401,9,12.91,18.2,12.41
401,10,10.11,11.5,10.35
401,11,5.99,8.0,5.26
401,12,7.17,7.5,6.95
401,13,5.4,6.6,5.31
401,14,4.66,6.4,4.89
401,15,17.8,18.1,16.04
401,16,14.44,15.8,14.42
401,17,7.55,8.5,7.11
401,18,4.64,5.6,5.17
401,19,9.81,11.7,9.05
401,20,11.84,14.1,11.98
401,21,12.3,14.7,12.72
401,22,8.38,9.8,8.43
401,23,8.76,10.2,8.81
401,24,10.97,13.1,11.69
402,1,8.58,10.75,9.77
402,2,4.14,5.9,4.67
402,3,9.98,11.8,9.95
402,4,8.43,8.9,7.52
402,5,3.46,4.2,4.0
402,6,21.04,27.08,23.58
402,7,7.85,8.4,6.94
402,8,7.18,7.8,5.94
402,9,6.2,8.2,6.28
402,10,5.88,7.5,6.04
402,11,5.6,6.4,5.94
402,12,4.52,5.1,4.47
402,13,5.42,6.6,5.71
402,14,23.28,28.71,25.03
402,15,20.74,23.7,21.22
402,16,9.64,10.8,9.85
402,17,8.21,10.9,8.22
402,18,4.75,5.6,4.8
402,19,5.69,7.1,5.39
402,20,5.62,6.7,5.88
402,21,6.63,8.3,7.07
402,22,5.96,7.4,6.38
402,23,12.14,13.84,12.1
402,24,4.35,5.7,4.58
403,1,7.57,9.5,6.9
403,2,7.45,10.3,7.38
403,3,9.63,9.4,8.16
403,4,7.35,8.9,6.86
403,5,4.46,4.2,3.9
403,6,7.51,9.8,7.06
403,7,8.09,8.4,7.38
403,8,4.93,4.96,3.94
403,9,5.79,6.6,4.78
403,10,6.24,7.5,5.71
403,11,6.34,6.4,5.49
403,12,5.43,5.1,4.45
403,13,7.9,8.4,6.99
403,14,4.25,4.8,3.75
403,15,4.27,4.9,3.55
403,16,3.96,5.0,3.26
403,17,8.07,8.5,7.19
403,18,4.95,5.6,4.32
403,19,8.39,8.9,7.0
403,20,5.76,6.7,5.05
403,21,7.48,8.3,6.64
403,22,5.93,7.4,5.18
403,23,8.47,10.2,7.92
403,24,8.25,9.1,7.0
404,1,9.54,11.3,10.11
404,2,30.51,35.94,31.57
404,3,9.0,11.2,8.44
404,4,5.01,5.7,5.45
404,5,7.83,8.4,7.74
404,6,8.22,9.8,7.92
404,7,7.84,7.76,6.9
404,8,4.75,5.6,4.28
404,9,5.12,6.6,5.08
404,10,9.21,11.5,9.83
404,11,5.58,6.4,5.03
404,12,9.36,11.3,9.02
404,13,7.11,8.8,7.73
404,14,3.86,5.0,4.23
404,15,4.01,4.9,3.07
404,16,3.44,5.0,3.81
404,17,7.43,8.5,7.09
404,18,8.52,9.2,8.37
404,19,9.37,9.5,7.66
404,20,5.93,6.7,5.77
404,21,7.1,8.3,6.59
404,22,5.82,7.4,5.42
404,23,8.64,10.2,8.47
404,24,4.52,5.14,4.78
405,1,7.25,9.5,7.21
405,2,4.09,5.9,4.45
405,3,8.79,11.2,7.93
405,4,5.08,5.7,5.43
405,5,6.91,8.0,6.94
405,6,7.52,9.0,7.92
405,7,7.27,8.4,6.21
405,8,6.57,7.8,5.9
405,9,5.55,6.6,4.98
405,10,6.37,7.5,6.55
405,11,5.37,6.4,5.66
405,12,5.3,5.1,4.57
405,13,6.01,6.6,6.26
405,14,3.71,4.8,4.13
405,15,3.51,4.9,3.02
