SubjectNum,TrialNum,Time,dX,dZ,pos
401,19,195.76669311523438,1.6,-1.9900000000000002,[5 1]
401,19,199.10000610351562,1.6,-3.095,[5 0]
401,19,200.2111053466797,0.8,-3.095,[4 0]
401,19,201.10000610351562,-0.044999999999999984,-3.095,[3 0]
401,19,201.76669311523438,-0.87,-3.095,[2 0]
401,19,202.4333038330078,-1.8,-3.095,[1 0]
401,19,203.54440307617188,-3.0250000000000004,-3.095,[0 0]
401,19,204.2111053466797,-3.0250000000000004,-1.9900000000000002,[0 1]
401,19,205.10000610351562,-3.0250000000000004,-0.99,[0 2]
401,19,205.98890686035156,-3.0250000000000004,0.0,[0 3]
401,19,206.6555938720703,-3.0250000000000004,0.92,[0 4]
401,19,207.32220458984375,-1.8,0.92,[1 4]
401,19,207.54440307617188,-1.8,1.725,[1 5]
401,22,229.97779846191406,-1.8,-3.095,[1 0]
401,22,233.53329467773438,-3.0250000000000004,-3.095,[0 0]
401,22,233.75559997558594,-3.0250000000000004,-1.9900000000000002,[0 1]
401,22,234.86669921875,-3.0250000000000004,-0.99,[0 2]
401,22,235.75559997558594,-3.0250000000000004,0.0,[0 3]
401,22,236.64450073242188,-3.0250000000000004,0.92,[0 4]
401,22,237.31109619140625,-1.8,0.92,[1 4]
401,22,238.64450073242188,-0.87,0.92,[2 4]
401,22,239.08889770507812,-0.044999999999999984,0.92,[3 4]
401,22,239.97779846191406,0.8,0.92,[4 4]
401,22,0,1.6,0.92,[5 4]
401,20,254.4445037841797,1.6,-1.9900000000000002,[5 1]
401,20,257.1111145019531,1.6,-0.99,[5 2]
401,20,258.0,0.8,-0.99,[4 2]
401,20,258.8888854980469,-0.044999999999999984,-0.99,[3 2]
401,20,259.7778015136719,-0.87,-0.99,[2 2]
401,20,260.2221984863281,-1.8,-0.99,[1 2]
401,20,261.55560302734375,-3.0250000000000004,-0.99,[0 2]
401,20,262.4444885253906,-3.0250000000000004,0.0,[0 3]
401,20,263.55560302734375,-3.0250000000000004,0.92,[0 4]
401,20,264.0,-1.8,0.92,[1 4]
401,20,264.2221984863281,-1.8,1.725,[1 5]
401,20,265.33331298828125,-1.8,2.9000000000000004,[1 6]
401,20,266.8888854980469,-0.87,2.9000000000000004,[2 6]
401,20,267.7778015136719,-0.044999999999999984,2.9000000000000004,[3 6]
401,20,268.4444885253906,0.8,2.9000000000000004,[4 6]
401,20,0,1.6,2.9000000000000004,[5 6]
401,14,287.9555969238281,-3.0250000000000004,0.0,[0 3]
