SubjectName,TrialOrder,TrialNumber,DiscreteDistance,ContinuousDistance,FrechetLearn,FrechetShortcut,FrechetReversed,FrechetTopo,LearnDistance,ShortcutDistance,TopoDistance,Failure
401,1,19,11.78,9.05,0,3.65,5.26,3.65,11.78,7.12,7.12,False
401,2,22,9.87,8.43,4.0,2.88,5.26,4.20,10.70,7.42,9.26,False
401,3,20,14.14,11.98,2.98,5.00,4.89,2.98,10.03,6.74,8.18,False
401,4,14,6.51,4.89,4.09,0.84,4.30,1.91,12.46,4.82,4.96,False
401,5,7,18.14,15.99,2.88,2.65,6.85,2.88,12.42,8.46,13.12,False
401,6,23,10.14,8.81,2.26,2.57,6.24,2.57,11.94,8.64,8.64,False
401,7,21,14.75,12.72,4.0,2.88,5.90,5.00,11.63,8.34,8.34,False
401,8,24,13.04,11.69,2.26,3.24,4.37,3.24,9.03,5.74,5.74,False
401,9,18,5.62,5.17,2.11,0.00,4.73,2.25,9.83,5.62,13.40,False
401,10,10,11.49,10.35,4.76,2.65,5.46,3.39,13.04,7.54,13.36,False
401,11,1,13.38,10.53,2.88,2.26,6.73,2.27,14.18,9.52,11.97,False
401,12,15,20.22,16.04,4.0,3.87,4.27,3.87,8.14,4.85,9.28,False
401,13,4,5.74,5.37,2.52,0.00,4.00,0.92,9.03,5.74,7.59,False
401,14,6,9.87,7.41,0,3.65,5.48,3.10,9.87,9.02,15.50,False
401,15,3,11.85,9.01,0,2.88,6.89,4.00,11.84,9.40,15.08,False
401,16,13,6.62,5.31,2.11,0.00,5.03,2.11,8.82,6.62,8.82,False
401,17,11,8.08,5.26,1.98,0.80,5.63,2.27,10.43,6.47,8.45,False
401,18,9,18.34,12.41,4.12,4.12,5.03,4.02,8.46,6.60,14.26,False
401,19,5,8.41,7.86,0,2.19,3.93,2.19,8.41,4.20,4.20,False
401,20,16,15.91,14.42,4.76,3.87,4.30,3.87,10.47,4.97,4.97,False
401,21,12,7.48,6.95,1.98,1.98,4.40,1.98,7.48,5.13,6.97,False
401,22,8,7.84,5.92,0,2.11,4.73,2.11,7.83,5.62,7.84,False
401,23,17,8.52,7.11,2.57,1.76,6.04,2.12,13.65,8.51,12.20,False
401,24,2,5.88,4.05,3.24,1.76,4.16,0.00,11.02,5.88,5.88,False
402,1,19,7.11,5.39,3.65,0.00,5.04,0.00,11.78,7.12,7.12,False
402,2,22,7.42,6.38,2.47,0.00,5.26,2.52,10.70,7.42,9.26,False
402,3,20,6.74,5.88,2.52,0.00,4.89,2.57,10.03,6.74,8.18,False
402,4,14,29.60,25.03,4.02,4.30,4.30,3.65,12.46,4.82,4.96,True
402,5,7,8.46,6.94,1.98,1.91,6.27,1.65,12.42,8.46,13.12,False
402,6,23,14.45,12.10,3.65,5.00,6.24,5.00,11.94,8.64,8.64,False
402,7,21,8.34,7.07,2.25,1.91,5.90,2.11,11.63,8.34,8.34,False
402,8,24,5.74,4.58,2.52,0.00,4.37,0.00,9.03,5.74,5.74,False
402,9,18,5.62,4.80,2.11,0.00,4.73,2.25,9.83,5.62,13.40,False
402,10,10,7.54,6.04,2.67,0.00,5.46,2.52,13.04,7.54,13.36,False
402,11,1,11.37,9.73,4.2,2.12,6.73,2.27,14.18,9.52,11.97,False
402,12,15,23.73,21.22,3.87,3.87,3.87,3.87,8.14,4.85,9.28,True
402,13,4,9.03,7.52,2.19,2.57,3.89,2.57,9.03,5.74,7.59,False
402,14,6,29.59,23.58,4.73,3.39,5.48,3.39,9.87,9.02,15.50,True
402,15,3,11.85,9.95,1.76,2.88,6.89,3.20,11.84,9.40,15.08,False
402,16,13,6.62,5.71,2.11,0.00,5.03,2.11,8.82,6.62,8.82,False
402,17,11,6.47,5.94,1.98,0.00,5.63,1.91,10.43,6.47,8.45,False
402,18,9,6.61,6.28,2.19,0.00,5.03,2.19,8.46,6.60,14.26,False
402,19,5,4.21,4.00,2.19,0.00,3.49,0.00,8.41,4.20,4.20,False
402,20,16,10.77,9.85,4.76,3.39,4.30,3.39,10.47,4.97,4.97,False
402,21,12,5.13,4.47,1.98,0.00,4.40,0.92,7.48,5.13,6.97,False
402,22,8,7.84,5.94,0,2.11,4.73,2.11,7.83,5.62,7.84,False
402,23,17,10.97,8.22,4.0,2.27,6.04,2.27,13.65,8.51,12.20,False
402,24,2,5.88,4.67,3.24,1.76,4.16,0.00,11.02,5.88,5.88,False
403,1,19,8.77,7.00,3.01,0.82,5.04,0.82,11.78,7.12,7.12,False
403,2,22,7.42,5.18,2.47,0.00,5.26,2.52,10.70,7.42,9.26,False
403,3,20,6.74,5.05,2.52,0.00,4.89,2.57,10.03,6.74,8.18,False
403,4,14,4.82,3.75,4.02,0.00,4.30,1.91,12.46,4.82,4.96,False
403,5,7,8.46,7.38,3.89,1.91,6.27,1.91,12.42,8.46,13.12,False
403,6,23,10.14,7.92,2.26,2.57,6.24,2.57,11.94,8.64,8.64,False
403,7,21,8.34,6.64,2.25,1.91,5.90,2.11,11.63,8.34,8.34,False
403,8,24,9.08,7.00,2.26,2.52,4.37,2.52,9.03,5.74,5.74,False
403,9,18,5.62,4.32,2.11,0.00,4.73,2.25,9.83,5.62,13.40,False
403,10,10,7.54,5.71,2.67,0.00,5.46,2.52,13.04,7.54,13.36,False
403,11,1,9.52,6.90,3.65,0.00,6.73,2.27,14.18,9.52,11.97,False
403,12,15,4.85,3.55,2.47,0.00,3.56,2.37,8.14,4.85,9.28,False
403,13,4,9.03,6.86,0,2.52,4.00,2.52,9.03,5.74,7.59,False
403,14,6,9.87,7.06,2.11,2.27,5.48,1.29,9.87,9.02,15.50,False
403,15,3,9.40,8.16,2.88,0.00,6.89,2.57,11.84,9.40,15.08,True
403,16,13,8.46,6.99,3.65,1.91,5.46,3.65,8.82,6.62,8.82,False
403,17,11,6.47,5.49,1.98,0.00,5.63,1.91,10.43,6.47,8.45,False
403,18,9,6.61,4.78,2.19,1.76,5.03,2.19,8.46,6.60,14.26,False
403,19,5,4.21,3.90,2.19,0.00,3.49,0.00,8.41,4.20,4.20,False
403,20,16,4.97,3.26,2.67,0.00,3.58,0.00,10.47,4.97,4.97,False
403,21,12,5.13,4.45,1.98,0.00,4.40,0.92,7.48,5.13,6.97,False
403,22,8,5.63,3.94,2.11,0.00,4.73,2.11,7.83,5.62,7.84,False
403,23,17,8.52,7.19,2.57,1.76,6.04,2.12,13.65,8.51,12.20,False
403,24,2,10.31,7.38,3.89,3.14,4.16,2.27,11.02,5.88,5.88,False
404,1,19,9.57,7.66,2.11,2.27,5.26,2.27,11.78,7.12,7.12,False
404,2,22,7.42,5.42,2.47,0.00,5.26,2.52,10.70,7.42,9.26,False
404,3,20,6.74,5.77,2.52,0.00,4.89,2.57,10.03,6.74,8.18,False
404,4,14,4.96,4.23,2.67,1.91,3.25,0.00,12.46,4.82,4.96,False
404,5,7,8.46,6.90,3.89,1.91,6.27,1.91,12.42,8.46,13.12,False
404,6,23,10.14,8.47,2.26,2.57,6.24,2.57,11.94,8.64,8.64,False
404,7,21,8.34,6.59,2.47,0.00,5.90,2.52,11.63,8.34,8.34,False
404,8,24,5.74,4.78,2.52,0.00,4.37,0.00,9.03,5.74,5.74,False
404,9,18,9.30,8.37,4.02,2.12,5.08,2.25,9.83,5.62,13.40,False
404,10,10,11.59,9.83,2.52,2.67,6.12,2.67,13.04,7.54,13.36,False
404,11,1,11.36,10.11,5.0,3.24,6.73,4.00,14.18,9.52,11.97,False
404,12,15,4.85,3.07,2.47,0.00,3.56,2.37,8.14,4.85,9.28,False
404,13,4,5.74,5.45,2.52,0.00,4.00,0.92,9.03,5.74,7.59,False
404,14,6,12.22,7.92,1.18,3.65,5.48,3.10,9.87,9.02,15.50,False
404,15,3,11.24,8.44,2.88,2.19,7.39,1.91,11.84,9.40,15.08,False
404,16,13,8.83,7.73,2.11,2.11,5.03,2.11,8.82,6.62,8.82,False
404,17,11,6.47,5.03,1.98,0.00,5.63,1.91,10.43,6.47,8.45,False
404,18,9,6.61,5.08,2.19,0.00,5.03,2.19,8.46,6.60,14.26,False
404,19,5,8.41,7.74,0,2.19,3.93,2.19,8.41,4.20,4.20,False
404,20,16,4.97,3.81,2.67,0.00,3.58,0.00,10.47,4.97,4.97,False
