TrialOrder,TrialID,AngleResponse,AngleCorr,AngError,Start,End,RT,ID,AngErrorAbs
4,1,131.257,139.8627,-8.605699999999985, Well, Stove,13.31067,438,8.605699999999985
13,2,-109.179,-49.85279,-59.32621, Wheelbarrow, Stove,5.00415,438,59.32621
11,3,-98.56911,-36.09407,-62.47503999999999, Mailbox, Piano,13.92798,438,62.47503999999999
12,4,142.275,-2.913495,145.18849500000002, Harp, Piano,8.67395,438,145.18849500000002
21,5,48.67446,-121.5305,170.20496, Bookshelf, Table,7.506348,438,170.20496
10,6,44.99997,24.73069,20.26928, Chair, Table,21.80139,438,20.26928
9,7,-88.82687,-156.2066,67.37973000000001, Trashcan, Plant,15.26251,438,67.37973000000001
16,8,161.1881,108.8188,52.3693, Harp, Plant,7.389404,438,52.3693
1,9,123.5213,151.2295,-27.708200000000005, Stove, Bookshelf,8.089111,438,27.708200000000005
2,10,127.0362,-155.7204,282.7566, Plant, Bookshelf,6.471985,438,77.24340000000001
17,11,132.1579,10.1685,121.98940000000002, Telescope, Trashcan,10.09131,438,121.98940000000002
3,12,143.514,-13.0517,156.56570000000002, Table, Trashcan,7.523193,438,156.56570000000002
24,13,74.5388,156.9717,-82.4329, Well, Telescope,7.556274,438,82.4329
23,14,-65.42603,0.0,-65.42603, Wheelbarrow, Telescope,13.66125,438,65.42603
6,15,-145.7131,-20.9935,-124.7196, Mailbox, Wheelbarrow,9.724548,438,124.7196
8,16,-77.29285,-141.7693,64.47644999999999, Plant, Wheelbarrow,7.856506,438,64.47644999999999
19,17,101.31,146.6573,-45.34729999999999, Stove, Harp,4.687378,438,45.34729999999999
18,18,75.96373,-4.299151,80.262881, Telescope, Harp,9.224487,438,80.262881
14,19,-131.1859,-47.17128,-84.01462000000001, Table, Well,6.822632,438,84.01462000000001
7,20,-131.1859,8.961795,-140.147695, Piano, Well,16.84723,438,140.147695
20,21,-81.93306,-146.2155,64.28244, Trashcan, Mailbox,24.83679,438,64.28244
15,22,132.0134,-51.54441,183.55781, Bookshelf, Mailbox,16.27954,438,176.44219
22,23,-138.814,-10.49368,-128.32031999999998, Piano, Chair,9.074097,438,128.32031999999998
5,24,-110.8929,-125.6807,14.787800000000004, Trashcan, Chair,4.587036,438,14.787800000000004
1,7,-77.47121,-156.2066,78.73538, Trashcan, Plant,18.56519,444,78.73538
2,4,25.65926,-2.913495,28.57276, Harp, Piano,5.454391,444,28.57276
3,13,-156.4599,156.9717,-313.4316, Well, Telescope,6.688934,444,46.5684
4,21,-120.4111,-146.2155,25.80447, Trashcan, Mailbox,10.94221,444,25.80447
5,8,119.6499,108.8188,10.83106, Harp, Plant,3.753052,444,10.83106
6,17,-130.272,146.6573,-276.9293, Stove, Harp,3.836639,444,83.07069999999999
7,24,147.9381,-125.6807,273.6188, Trashcan, Chair,5.070938,444,86.38119999999998
8,20,62.6223,8.961795,53.66051, Piano, Well,8.390121,444,53.66051
9,11,-103.3487,10.1685,-113.5172, Telescope, Trashcan,2.502075,444,113.5172
10,18,-151.8763,-4.299151,-147.5771, Telescope, Harp,2.068527,444,147.5771
11,1,-149.6419,139.8627,-289.5046, Well, Stove,3.319229,444,70.49540000000002
12,19,-37.72499,-47.17128,9.446285, Table, Well,6.972382,444,9.446285
13,6,26.83403,24.73069,2.103348, Chair, Table,3.552887,444,2.103348
14,22,109.2496,-51.54441,160.794, Bookshelf, Mailbox,1.551346,444,160.794
15,3,-88.01134,-36.09407,-51.91727, Mailbox, Piano,2.802399,444,51.91727
16,14,169.992,0.0,169.992, Wheelbarrow, Telescope,1.818069,444,169.992
17,2,-53.13014,-49.85279,-3.277351, Wheelbarrow, Stove,1.634659,444,3.277351
18,12,129.8055,-13.0517,142.8572, Table, Trashcan,2.618988,444,142.8572
19,15,-146.0105,-20.9935,-125.017, Mailbox, Wheelbarrow,2.201721,444,125.017
20,5,26.21136,-121.5305,147.7419, Bookshelf, Table,4.370224,444,147.7419
21,23,168.518,-10.49368,179.0117, Piano, Chair,4.270157,444,179.0117
22,16,-48.71521,-141.7693,93.05411, Plant, Wheelbarrow,2.201904,444,93.05411
23,9,159.2059,151.2295,7.976349, Stove, Bookshelf,5.154114,444,7.976349
24,10,137.7263,-155.7204,293.4467, Plant, Bookshelf,5.470963,444,66.55329999999998
1,1,-58.17259,139.8627,-198.0352, Well, Stove,12.79388,443,161.9648
2,4,-168.69,-2.913495,-165.7765, Harp, Piano,3.736389,443,165.7765
3,13,61.64502,156.9717,-95.32668, Well, Telescope,1.934814,443,95.32668
4,5,-126.7901,-121.5305,-5.259575, Bookshelf, Table,1.968262,443,5.259575
5,17,-167.6722,146.6573,-314.3295, Stove, Harp,2.352051,443,45.670500000000004
6,22,131.6933,-51.54441,183.2377, Bookshelf, Mailbox,1.951477,443,176.7623
7,6,-44.99992,24.73069,-69.73061, Chair, Table,1.835083,443,69.73061
8,21,113.2557,-146.2155,259.4713, Trashcan, Mailbox,1.918091,443,100.52870000000001
9,14,-149.3814,0.0,-149.3814, Wheelbarrow, Telescope,2.752258,443,149.3814
10,15,-175.4861,-20.9935,-154.4926, Mailbox, Wheelbarrow,3.219299,443,154.4926
11,23,37.25528,-10.49368,47.74897, Piano, Chair,3.102722,443,47.74897
12,7,22.67137,-156.2066,178.878, Trashcan, Plant,2.468323,443,178.878
13,2,-174.3518,-49.85279,-124.499, Wheelbarrow, Stove,2.368774,443,124.499
14,19,144.6052,-47.17128,191.7765, Table, Well,3.002441,443,168.2235
15,18,-77.47128,-4.299151,-73.17213, Telescope, Harp,4.170105,443,73.17213
16,3,51.51978,-36.09407,87.61385, Mailbox, Piano,3.152588,443,87.61385
17,11,45.41222,10.1685,35.24372, Telescope, Trashcan,3.102661,443,35.24372
18,9,-125.0737,151.2295,-276.3033, Stove, Bookshelf,5.504456,443,83.69670000000002
19,10,126.573,-155.7204,282.2935, Plant, Bookshelf,3.235901,443,77.7065
20,24,135.8952,-125.6807,261.5759, Trashcan, Chair,4.553833,443,98.42410000000001
21,20,74.47588,8.961795,65.51409, Piano, Well,3.269287,443,65.51409
22,16,-65.9657,-141.7693,75.80362, Plant, Wheelbarrow,3.169556,443,75.80362
23,12,53.45893,-13.0517,66.51063, Table, Trashcan,2.151428,443,66.51063
24,8,-159.8483,108.8188,-268.6671, Harp, Plant,2.769043,443,91.3329
1,20,-87.79742,8.961795,-96.75921, Piano, Well,18.66538,442,96.75921
2,15,97.00545,-20.9935,117.9989, Mailbox, Wheelbarrow,13.69452,442,117.9989
3,13,-103.7515,156.9717,-260.7232, Well, Telescope,10.82564,442,99.27679999999998
4,23,162.4972,-10.49368,172.9909, Piano, Chair,4.503632,442,172.9909
5,6,48.98251,24.73069,24.25182, Chair, Table,10.59206,442,24.25182
6,19,-134.829,-47.17128,-87.6577, Table, Well,17.3643,442,87.6577
7,5,-77.25472,-121.5305,44.2758, Bookshelf, Table,18.38181,442,44.2758
8,17,-92.74809,146.6573,-239.4053, Stove, Harp,6.02211,442,120.59469999999999
9,2,120.0897,-49.85279,169.9425, Wheelbarrow, Stove,5.087067,442,169.9425
10,18,-18.59324,-4.299151,-14.29408, Telescope, Harp,14.5285,442,14.29408
11,12,124.9755,-13.0517,138.0272, Table, Trashcan,8.307053,442,138.0272
12,3,-40.41203,-36.09407,-4.317959, Mailbox, Piano,6.572983,442,4.317959
13,11,43.96466,10.1685,33.79615, Telescope, Trashcan,4.669418,442,33.79615
14,4,145.4207,-2.913495,148.3342, Harp, Piano,3.269379,442,148.3342
