SubjectNum,TrialNum,Time,X,Z,X_d,Z_d
401,1,510.0,-2.397319,3.119438,-3.0,2.9003906
401,1,510.0,-2.301764,3.11955,-1.7998047,2.9003906
401,1,511.0,-2.089671,2.909523,-1.7998047,2.9003906
401,1,512.0,-1.985043,2.629111,-1.7998047,2.9003906
401,1,513.0,-1.976587,2.545438,-1.7998047,2.9003906
401,1,514.0,-1.883094,2.041815,-1.7998047,1.7001953
401,1,515.0,-1.493437,1.221768,-1.7998047,0.89990234
401,1,515.0,-1.068483,1.05934,-0.89990234,0.89990234
401,1,516.0,-0.7087699,0.8772017,-0.89990234,0.89990234
401,1,516.0,-0.3582153,0.6970986,-0.0,0.89990234
401,1,517.0,0.006125152,0.4196385,-0.0,0.0
401,1,518.0,-0.1734882,-0.3840732,-0.0,0.0
401,1,518.0,-0.2176398,-0.6203012,-0.0,-1.0
401,1,519.0,-0.6602203,-1.251494,-0.89990234,-1.0
401,1,519.0,-0.8572565,-1.620457,-0.89990234,-2.0
401,1,520.0,-0.8507318,-2.050238,-0.89990234,-2.0
401,1,520.0,-0.8369579,-2.638491,-0.89990234,-3.0996094
401,1,521.0,-0.7103124,-2.847654,-0.89990234,-3.0996094
401,1,521.0,-0.2901856,-2.9584,-0.0,-3.0996094
401,1,522.0,0.1057718,-3.066876,-0.0,-3.0996094
401,1,522.0,0.6476306,-3.214977,0.7998047,-3.0996094
401,1,523.0,1.377111,-2.864808,1.5996094,-3.0996094
401,1,523.0,1.599609,-2.0,1.599609,-2.0
401,2,888.0,-2.485242,2.944319,-3.0,2.9003906
401,2,888.0,-2.3446,3.029582,-1.7998047,2.9003906
401,2,889.0,-2.122051,3.052653,-1.7998047,2.9003906
401,2,890.0,-2.011393,2.980609,-1.7998047,2.9003906
401,2,891.0,-1.987481,2.516802,-1.7998047,2.9003906
401,2,891.0,-1.972086,2.090277,-1.7998047,1.7001953
401,2,892.0,-1.924816,1.883805,-1.7998047,1.7001953
401,2,893.0,-1.706034,1.240755,-1.7998047,0.89990234
401,2,894.0,-1.096416,1.064784,-0.89990234,0.89990234
401,2,894.0,-0.4456936,0.7106239,-0.0,0.89990234
401,2,895.0,-0.3087652,0.6026391,-0.0,0.89990234
401,2,895.0,-0.1562897,0.47436,-0.0,0.0
401,3,638.0,1.324319,3.263608,1.5996094,2.9003906
401,3,638.0,1.164367,3.186098,0.7998047,2.9003906
401,3,639.0,0.4552339,3.111053,0.7998047,2.9003906
401,3,639.0,0.2826164,3.100005,-0.0,2.9003906
401,3,640.0,-0.4050573,3.010799,-0.0,2.9003906
401,3,640.0,-0.5808495,3.030262,-0.89990234,2.9003906
401,3,641.0,-1.345707,3.07313,-1.7998047,2.9003906
401,3,642.0,-1.789401,2.433054,-1.7998047,2.9003906
401,3,642.0,-2.068219,1.88094,-1.7998047,1.7001953
401,3,643.0,-2.120723,1.422921,-1.7998047,1.7001953
401,3,643.0,-2.189317,1.274321,-1.7998047,0.89990234
401,3,643.0,-2.505672,0.9457961,-3.0,0.89990234
