SubjectNum,TrialNum,Time,X,Z
401,19,195.7667,1.700497,-1.946441
401,19,195.9889,1.699998,-1.944755
401,19,196.2111,1.682189,-1.942162
401,19,196.4333,1.645533,-1.93765
401,19,196.6556,1.622375,-1.946435
401,19,196.8778,1.608877,-1.956712
401,19,197.1,1.612711,-1.953682
401,19,197.3222,1.616979,-1.932673
401,19,197.5444,1.624809,-1.936296
401,19,197.7667,1.634313,-1.93964
401,19,197.9889,1.64545,-1.944007
401,19,198.2111,1.665933,-2.023388
401,19,198.4333,1.686975,-2.106579
401,19,198.6556,1.686883,-2.223065
401,19,198.8778,1.643867,-2.377301
401,19,199.1,1.576018,-2.510005
401,19,199.3222,1.532268,-2.589377
401,19,199.5444,1.497159,-2.705499
401,19,199.7667,1.442176,-2.86931
401,19,199.9889,1.352649,-2.963721
401,19,200.2111,1.189155,-3.036256
401,19,200.4333,0.9791192,-3.080112
401,19,200.6556,0.7611936,-3.105753
401,19,200.8778,0.5095462,-3.153243
401,19,201.1,0.2262288,-3.217448
401,19,201.3222,-0.04258017,-3.229473
401,19,201.5444,-0.282996,-3.148257
401,19,201.7667,-0.5036945,-3.064404
401,19,201.9889,-0.7976317,-3.035867
401,19,202.2111,-1.115953,-3.091223
401,19,202.4333,-1.440481,-3.132108
401,19,202.6556,-1.646353,-3.094549
401,19,202.8778,-1.87817,-3.030278
401,19,203.1,-2.133421,-2.906601
401,19,203.3222,-2.301347,-2.834012
401,19,203.5444,-2.466689,-2.749793
401,19,203.7667,-2.589708,-2.656365
401,19,203.9889,-2.628276,-2.557338
401,19,204.2111,-2.650398,-2.425585
401,19,204.4333,-2.661617,-2.216635
401,19,204.6556,-2.667308,-2.01149
401,19,204.8778,-2.697184,-1.780496
401,19,205.1,-2.776205,-1.445473
401,19,205.3222,-2.811546,-1.182264
401,19,205.5444,-2.797122,-0.9103081
401,19,205.7667,-2.770755,-0.666657
401,19,205.9889,-2.758696,-0.3845183
401,19,206.2111,-2.753689,-0.08186333
401,19,206.4333,-2.766061,0.2473559
401,19,206.6556,-2.728683,0.492081
401,19,206.8778,-2.643783,0.6986945
401,19,207.1,-2.465617,0.9414109
401,19,207.3222,-2.344664,1.138272
401,19,207.5444,-2.222101,1.360806
401,19,207.7667,-2.102502,1.5731
401,22,229.9778,-1.770483,-3.310737
401,22,230.2,-1.771276,-3.318677
401,22,230.4222,-1.768505,-3.335347
401,22,230.6445,-1.75452,-3.349828
401,22,230.8667,-1.748893,-3.350632
401,22,231.0889,-1.748879,-3.349659
401,22,231.3111,-1.756927,-3.345882
401,22,231.5333,-1.811906,-3.336974
401,22,231.7556,-1.817418,-3.351488
401,22,231.9778,-1.801448,-3.361526
401,22,232.2,-1.795279,-3.353717
401,22,232.4222,-1.838964,-3.319454
401,22,232.6445,-1.935418,-3.252067
401,22,232.8667,-2.080864,-3.114886
401,22,233.0889,-2.243384,-2.984348
401,22,233.3111,-2.340898,-2.856459
401,22,233.5333,-2.407335,-2.652899
401,22,233.7556,-2.431695,-2.418717
401,22,233.9778,-2.507651,-2.200208
401,22,234.2,-2.604925,-1.950441
401,22,234.4222,-2.674891,-1.747203
401,22,234.6445,-2.663303,-1.555953
401,22,234.8667,-2.614538,-1.405048
401,22,235.0889,-2.55059,-1.215179
401,22,235.3111,-2.557114,-1.004192
401,22,235.5333,-2.619186,-0.756416
401,22,235.7556,-2.690009,-0.4144522
401,22,235.9778,-2.696888,-0.1616187
401,22,236.2,-2.650882,0.04313227
401,22,236.4222,-2.557759,0.2763954
401,22,236.6445,-2.484039,0.4979073
401,22,236.8667,-2.420617,0.6627411
401,22,237.0889,-2.363554,0.8308392
401,22,237.3111,-2.27811,0.9709624
401,22,237.5333,-2.171723,1.033078
401,22,237.7556,-1.946402,1.022795
401,22,237.9778,-1.705616,0.9583787
401,22,238.2,-1.497533,0.9389718
401,22,238.4222,-1.283612,0.9627938
401,22,238.6445,-1.001785,1.023575
401,22,238.8667,-0.7480763,1.051846
401,22,239.0889,-0.4743401,1.049122
401,22,239.3111,-0.1861583,1.022433
401,22,239.5333,0.09383234,1.024261
401,22,239.7556,0.398226,1.062484
401,22,239.9778,0.7148541,1.117735
401,22,240.2,0.9539964,1.096494
401,22,240.4222,1.152094,1.052719
