Object1,Object1_X,Object1_Y,Object2,Object2_X,Object2_Y,Shortest_Distance,Path
Mailbox,1,0,Chair,4,0,2.5999999999999996,"(1, 0)->(2, 0)->(3, 0)->(4, 0)"
Mailbox,1,0,Plant,0,1,2.33,"(1, 0)->(0, 0)->(0, 1)"
Mailbox,1,0,Well,5,1,4.504999999999999,"(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)"
Mailbox,1,0,Harp,5,2,5.504999999999999,"(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)"
Mailbox,1,0,Telescope,0,3,4.32,"(1, 0)->(0, 0)->(0, 1)->(0, 2)->(0, 3)"
Mailbox,1,0,Wheelbarrow,3,3,4.8500000000000005,"(1, 0)->(2, 0)->(2, 1)->(2, 2)->(3, 2)->(3, 3)"
Mailbox,1,0,Bookshelf,5,4,7.415,"(1, 0)->(2, 0)->(2, 1)->(2, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)"
Mailbox,1,0,Trashcan,6,4,8.34,"(1, 0)->(2, 0)->(2, 1)->(2, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)"
Mailbox,1,0,Table,1,5,7.2700000000000005,"(1, 0)->(0, 0)->(0, 1)->(0, 2)->(0, 3)->(0, 4)->(1, 4)->(1, 5)"
Mailbox,1,0,Stove,0,6,9.67,"(1, 0)->(0, 0)->(0, 1)->(0, 2)->(0, 3)->(0, 4)->(1, 4)->(1, 5)->(1, 6)->(0, 6)"
Mailbox,1,0,Piano,5,6,9.395000000000001,"(1, 0)->(2, 0)->(2, 1)->(2, 2)->(3, 2)->(3, 3)->(3, 4)->(3, 5)->(3, 6)->(4, 6)->(5, 6)"
Chair,4,0,Plant,0,1,4.93,"(4, 0)->(3, 0)->(2, 0)->(1, 0)->(0, 0)->(0, 1)"
Chair,4,0,Well,5,1,1.905,"(4, 0)->(5, 0)->(5, 1)"
Chair,4,0,Harp,5,2,2.9050000000000002,"(4, 0)->(5, 0)->(5, 1)->(5, 2)"
Chair,4,0,Telescope,0,3,6.92,"(4, 0)->(3, 0)->(2, 0)->(1, 0)->(0, 0)->(0, 1)->(0, 2)->(0, 3)"
Chair,4,0,Wheelbarrow,3,3,5.54,"(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)"
Chair,4,0,Bookshelf,5,4,6.665,"(4, 0)->(5, 0)->(5, 1)->(5, 2)->(6, 2)->(6, 3)->(6, 4)->(5, 4)"
Chair,4,0,Trashcan,6,4,5.74,"(4, 0)->(5, 0)->(5, 1)->(5, 2)->(6, 2)->(6, 3)->(6, 4)"
Chair,4,0,Table,1,5,9.02,"(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(2, 4)->(1, 4)->(1, 5)"
Chair,4,0,Stove,0,6,11.419999999999998,"(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(3, 5)->(3, 6)->(2, 6)->(1, 6)->(0, 6)"
Chair,4,0,Piano,5,6,8.645,"(4, 0)->(5, 0)->(5, 1)->(5, 2)->(6, 2)->(6, 3)->(6, 4)->(6, 5)->(6, 6)->(5, 6)"
Plant,0,1,Well,5,1,6.625,"(0, 1)->(0, 2)->(1, 2)->(2, 2)->(3, 2)->(4, 2)->(5, 2)->(5, 1)"
Plant,0,1,Harp,5,2,5.625,"(0, 1)->(0, 2)->(1, 2)->(2, 2)->(3, 2)->(4, 2)->(5, 2)"
Plant,0,1,Telescope,0,3,1.9900000000000002,"(0, 1)->(0, 2)->(0, 3)"
Plant,0,1,Wheelbarrow,3,3,4.970000000000001,"(0, 1)->(0, 2)->(1, 2)->(2, 2)->(3, 2)->(3, 3)"
Plant,0,1,Bookshelf,5,4,7.535,"(0, 1)->(0, 2)->(1, 2)->(2, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)"
Plant,0,1,Trashcan,6,4,8.46,"(0, 1)->(0, 2)->(1, 2)->(2, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)"
Plant,0,1,Table,1,5,4.94,"(0, 1)->(0, 2)->(0, 3)->(0, 4)->(1, 4)->(1, 5)"
Plant,0,1,Stove,0,6,7.340000000000001,"(0, 1)->(0, 2)->(0, 3)->(0, 4)->(1, 4)->(1, 5)->(1, 6)->(0, 6)"
