ParticipantID,Order,TrialNumber,StartingObject,TargetObject,Status,Time
401,1,19,Well,Table,Success,12.36172
401,2,22,Mailbox,Bookshelf,Success,10.66749
401,3,20,Well,Piano,Success,14.65063
401,4,14,Telescope,Wheelbarrow,Success,7.985922
401,5,7,Plant,Trashcan,Success,22.41074
401,6,23,Chair,Piano,Success,11.72616
401,7,21,Mailbox,Trashcan,Success,13.59852
401,8,24,Chair,Trashcan,Success,12.35449
401,9,18,Harp,Telescope,Success,6.998751
401,10,10,Bookshelf,Plant,Success,12.77601
401,11,1,Stove,Well,Success,15.22048
401,12,15,Wheelbarrow,Mailbox,Success,23.02701
401,13,4,Piano,Harp,Success,8.05131
401,14,6,Table,Chair,Success,9.017736
401,15,3,Piano,Mailbox,Success,13.04853
401,16,13,Telescope,Well,Success,9.190071
401,17,11,Trashcan,Telescope,Success,9.941744
401,18,9,Bookshelf,Stove,Success,18.74738
401,19,5,Table,Bookshelf,Success,8.524899
401,20,16,Wheelbarrow,Plant,Success,17.27558
401,21,12,Trashcan,Table,Success,12.95079
401,22,8,Plant,Harp,Success,7.626545
401,23,17,Harp,Stove,Success,9.023987
401,24,2,Stove,Wheelbarrow,Success,9.31057
402,1,9,Bookshelf,Stove,Success,13.33237
402,2,4,Piano,Harp,Success,14.44571
402,3,15,Wheelbarrow,,Failure,30
402,4,12,Trashcan,Table,Success,6.898315
402,5,14,Telescope,,Failure,30
402,6,22,Mailbox,Bookshelf,Success,8.742416
402,7,11,Trashcan,Telescope,Success,8.504087
402,8,10,Bookshelf,Plant,Success,7.380728
402,9,21,Mailbox,Trashcan,Success,8.349586
402,10,24,Chair,Trashcan,Success,5.518724
402,11,19,Well,Table,Success,8.302389
402,12,3,Piano,Mailbox,Success,12.39443
402,13,17,Harp,Stove,Success,10.17315
402,14,20,Well,Piano,Success,6.942831
402,15,6,Table,,Failure,30
402,16,8,Plant,Harp,Success,8.683071
402,17,2,Stove,Wheelbarrow,Success,6.08593
402,18,18,Harp,Telescope,Success,6.544722
402,19,5,Table,Bookshelf,Success,4.875914
402,20,16,Wheelbarrow,Plant,Success,12.09952
402,21,1,Stove,Well,Success,11.18777
402,22,23,Chair,Piano,Success,13.91582
402,23,13,Telescope,Well,Success,6.777464
402,24,7,Plant,Trashcan,Success,9.350807
403,1,19,Well,Table,Success,15.98202
403,2,11,Trashcan,Telescope,Success,10.35025
403,3,12,Trashcan,Table,Success,8.96818
403,4,7,Plant,Trashcan,Success,10.20567
403,5,21,Mailbox,Trashcan,Success,8.805861
403,6,17,Harp,Stove,Success,9.436003
403,7,9,Bookshelf,Stove,Success,7.37912
403,8,6,Table,Chair,Success,9.557037
403,9,13,Telescope,Well,Success,10.17119
403,10,22,Mailbox,Bookshelf,Success,8.195665
403,11,2,Stove,Wheelbarrow,Success,10.9666
403,12,8,Plant,Harp,Success,8.455185
403,13,18,Harp,Telescope,Success,7.561804
403,14,1,Stove,Well,Success,10.3165
403,15,4,Piano,Harp,Success,10.98207
403,16,3,Piano,,Failure,30
403,17,10,Bookshelf,Plant,Success,8.19099
403,18,24,Chair,Trashcan,Success,12.46334
403,19,14,Telescope,Wheelbarrow,Success,8.417891
403,20,5,Table,Bookshelf,Success,8.074694
403,21,20,Well,Piano,Success,8.45599
403,22,16,Wheelbarrow,Plant,Success,5.862751
403,23,15,Wheelbarrow,Mailbox,Success,8.803535
403,24,23,Chair,Piano,Success,11.12162
404,1,21,Mailbox,Trashcan,Success,9.883072
404,2,5,Table,Bookshelf,Success,9.426716
404,3,13,Telescope,Well,Success,7.610432
404,4,6,Table,Chair,Success,8.934931
404,5,3,Piano,Mailbox,Success,8.36245
404,6,20,Well,Piano,Success,5.919701
404,7,18,Harp,Telescope,Success,7.929096
404,8,19,Well,Table,Success,9.556658
404,9,8,Plant,Harp,Success,5.278246
404,10,4,Piano,Harp,Success,4.856365
404,11,16,Wheelbarrow,Plant,Success,3.752787
404,12,9,Bookshelf,Stove,Success,4.890989
404,13,1,Stove,Well,Success,8.141039
404,14,22,Mailbox,Bookshelf,Success,5.919039
404,15,11,Trashcan,Telescope,Success,5.669527
404,16,17,Harp,Stove,Success,6.390503
