Participant ID,Level,Time,PosX,PosY,PosZ,Facing Angle
408,15,44.88,0.08594648,1.584839,0.07849051,262.2676
408,15,45.10222,0.1276412,1.602795,0.03588964,264.0389
408,15,45.32444,0.1588147,1.617268,0.0002665846,268.9494
408,15,45.54667,0.2025121,1.630517,0.004134266,269.6469
408,15,45.76889,0.2233663,1.639357,0.02742717,267.8182
408,15,45.99111,0.2346207,1.639755,0.03999095,263.9417
408,15,46.21333,0.2333015,1.640406,0.04704196,264.7008
408,15,46.43556,0.2231241,1.639933,0.05587426,268.4828
408,15,46.65778,0.2183356,1.637344,0.06139164,270.2841
408,15,46.88,0.21151,1.636268,0.06206261,268.9302
408,15,47.10222,0.1832729,1.624525,0.04295462,264.5734
408,15,47.32444,0.1564988,1.588164,-0.05675545,252.6136
408,15,47.54667,0.1493054,1.572535,-0.1742179,240.6303
408,15,47.76889,0.109084,1.572877,-0.2454465,236.9773
408,15,47.99111,0.04373517,1.569287,-0.3030398,231.0784
408,15,48.21333,-0.02303453,1.583083,-0.3620385,227.2583
408,15,48.43556,-0.09468687,1.585491,-0.4660053,231.3128
408,15,48.65778,-0.1438266,1.565302,-0.5976906,237.638
408,15,48.88,-0.1747379,1.57529,-0.7439826,241.6107
408,15,49.10222,-0.2267109,1.576683,-0.8909796,222.8855
408,15,49.32444,-0.325152,1.562767,-1.009826,210.6862
408,15,49.54667,-0.4722251,1.578554,-1.12066,203.6918
408,15,49.76889,-0.569717,1.585855,-1.253452,200.6434
408,15,49.99111,-0.6218279,1.559622,-1.414486,203.2174
408,15,50.21333,-0.6389779,1.568345,-1.578616,208.4653
408,15,50.43556,-0.6776817,1.578019,-1.735532,210.4581
408,15,50.65778,-0.7469888,1.563131,-1.881179,213.2895
408,15,50.88,-0.844359,1.574587,-2.026536,215.1009
408,15,51.10222,-0.9041236,1.576777,-2.177821,219.8299
408,15,51.32444,-0.9295449,1.555488,-2.339851,228.8419
408,15,51.54667,-0.9541516,1.573198,-2.525329,249.0435
408,15,51.76889,-1.01486,1.577487,-2.618011,264.648
408,15,51.99111,-1.1124,1.568839,-2.681565,275.1384
408,15,52.21333,-1.223262,1.564638,-2.72833,283.9386
408,15,52.43556,-1.297685,1.566387,-2.777267,294.8546
