Object1,Object1_X,Object1_Y,Object2,Object2_X,Object2_Y,Shortest_Distance,Path
Well,5,1,Harp,5,2,2,"(5, 1)->(5, 2)"
Well,5,1,Wheelbarrow,3,3,5,"(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)"
Well,5,1,Bookshelf,5,4,8,"(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)"
Well,5,1,Trashcan,6,4,9,"(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)"
Well,5,1,Piano,5,6,12,"(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)"
Well,5,1,Stove,0,6,17,"(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)"
Well,5,1,Table,1,5,18,"(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)"
Well,5,1,Telescope,0,3,21,"(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)"
Well,5,1,Plant,0,1,23,"(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)"
Well,5,1,Mailbox,1,0,25,"(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)"
Well,5,1,Chair,4,0,28,"(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)"
Harp,5,2,Well,5,1,29,"(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)"
Harp,5,2,Wheelbarrow,3,3,4,"(5, 2)->(4, 2)->(3, 2)->(3, 3)"
Harp,5,2,Bookshelf,5,4,7,"(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)"
Harp,5,2,Trashcan,6,4,8,"(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)"
Harp,5,2,Piano,5,6,11,"(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)"
Harp,5,2,Stove,0,6,16,"(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)"
Harp,5,2,Table,1,5,17,"(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)"
Harp,5,2,Telescope,0,3,20,"(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)"
Harp,5,2,Plant,0,1,22,"(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)"
Harp,5,2,Mailbox,1,0,24,"(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)"
Harp,5,2,Chair,4,0,27,"(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)"
