Subject,Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15,Trial16,Trial17,Trial18,Trial19,Trial20,Trial21,Trial22,Trial23,Trial24
401,,shortcut,,shortcut,learned,,,,,,shortcut,,shortcut,shortcut,,,shortcut,shortcut,learned,,learned,,,
402,,shortcut,,,shortcut,,,,shortcut,shortcut,shortcut,shortcut,shortcut,,,,,shortcut,shortcut,shortcut,shortcut,shortcut,learned,shortcut
403,shortcut,,shortcut,learned,shortcut,,shortcut,shortcut,shortcut,shortcut,shortcut,shortcut,,shortcut,shortcut,shortcut,shortcut,shortcut,,shortcut,shortcut,shortcut,,
404,,,,,learned,,shortcut,shortcut,shortcut,,shortcut,,,shortcut,shortcut,shortcut,shortcut,,,shortcut,shortcut,shortcut,,shortcut
405,shortcut,shortcut,,shortcut,,shortcut,shortcut,,shortcut,shortcut,shortcut,shortcut,shortcut,shortcut,shortcut,shortcut,shortcut,shortcut,shortcut,,shortcut,shortcut,shortcut,shortcut
406,shortcut,,,shortcut,shortcut,,shortcut,shortcut,shortcut,,,,shortcut,,shortcut,,,shortcut,,shortcut,shortcut,shortcut,learned,shortcut
407,shortcut,shortcut,,shortcut,,shortcut,shortcut,shortcut,shortcut,,shortcut,,,,shortcut,,shortcut,shortcut,shortcut,shortcut,shortcut,shortcut,shortcut,shortcut
408,shortcut,shortcut,shortcut,,shortcut,,shortcut,shortcut,shortcut,shortcut,shortcut,shortcut,shortcut,shortcut,shortcut,shortcut,shortcut,shortcut,,shortcut,shortcut,shortcut,,shortcut
409,,shortcut,,,,,,shortcut,,shortcut,,,,shortcut,,,shortcut,shortcut,,shortcut,shortcut,shortcut,shortcut,
410,,shortcut,,shortcut,,,,,shortcut,,,,,,,,,shortcut,,,,shortcut,,
411,,,,,,,,shortcut,shortcut,,,shortcut,shortcut,shortcut,,,shortcut,shortcut,learned,,,shortcut,,
412,,shortcut,,shortcut,learned,,shortcut,shortcut,shortcut,shortcut,shortcut,shortcut,shortcut,shortcut,,,shortcut,shortcut,learned,shortcut,,,shortcut,shortcut
413,shortcut,shortcut,,shortcut,shortcut,,shortcut,,shortcut,,shortcut,shortcut,shortcut,shortcut,shortcut,,,shortcut,shortcut,,,shortcut,shortcut,shortcut
414,,,,shortcut,learned,,shortcut,,shortcut,,shortcut,,,,,,,,,shortcut,,learned,,
